Name,food
"1,7-Dimethylxanthine",coffee
1-Methylxanthine.1,coffee
3-Methylxanthine.1,coffee
7-Methylxanthine,coffee
Caffeic acid,coffee
CIS-CAFFEIC ACID,coffee
ferulic acid 4-sulfate,coffee
Dihydroisoferulic acid,coffee
['Dihydroisoferulic Acid 3-O-Glucuronide'],coffee
Vanillic acid 4-sulfate,coffee
4-Hydroxybenzoic acid,coffee
"1,7-Dimethyluric acid",coffee
3-HYDROXYBENZOIC ACID,coffee
"3,7-Dimethyluric acid",coffee
Caffeic acid,coffee
Hippuric acid,coffee
isoferulic acid,coffee
5-O-Feruloylquinic acid,coffee
Quinic acid,coffee
Xanthine,coffee
N-(2-Furoyl)glycine,coffee
Catechin,chocolate
CIANIDANOL,chocolate
Quercetin,chocolate
3-Methylxanthine,chocolate
7-Methyluric acid,chocolate
7-Methylxanthine,chocolate
Theobromine,chocolate
GALLIC ACID,chocolate
Dopamine,banana
L-TRYPTOPHAN,banana
Tryptamine,banana
Serotonin,banana
3-Methoxytyramine,banana
5-HYDROXYINDOLE-3-ACETIC ACID,banana
['Homovanillic acid sulfate'],banana
Salsolinol,banana
